MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Property ID (URL PID),Measurement Method,Measurement Technique,Min Value,Max Value,Unit Code (QUDT Code),Unit Text,Is Sub-Type Of (PropertyValue mPIDs)
mbo_variable_measured_1,mbo_todo_person_roblinksdata,mbo_task_1_1,Number of hotdogs consumed,Number of hotdogs consumed per person in a one minute competitive eating competition.,,Manual counting,"We counted out 20 hot dogs per participant before the minute elapsed, and counted the number remaining at the end.",0.5,6,NUM,Number of hotdogs,mbo_variable_measured_eov_22
mbo_variable_measured_eov_1,mbo_todo_person_roblinksdata,mbo_task_1_1,Zooplankton biomass and diversity,Zooplankton biomass and diversity, https://goosocean.org/document/17509,,,,,,,
mbo_variable_measured_eov_2,mbo_todo_person_roblinksdata,mbo_task_1_1,Phytoplankton biomass and diversity,Phytoplankton biomass and diversity, https://goosocean.org/document/17507,,,,,,,
mbo_variable_measured_eov_3,mbo_todo_person_roblinksdata,mbo_task_1_1,Fish abundance and distribution,Fish abundance and distribution, https://goosocean.org/document/17510,,,,,,,
mbo_variable_measured_eov_4,mbo_todo_person_roblinksdata,mbo_task_1_1,"Marine turtles, birds, mammals abundance and distribution","Marine turtles, birds, mammals abundance and distribution", https://goosocean.org/document/17511,,,,,,,
mbo_variable_measured_eov_5,mbo_todo_person_roblinksdata,mbo_task_1_1,Hard coral cover and composition,Hard coral cover and composition, https://goosocean.org/document/17512,,,,,,,
mbo_variable_measured_eov_6,mbo_todo_person_roblinksdata,mbo_task_1_1,Seagrass cover and composition,Seagrass cover and composition, https://goosocean.org/document/17513,,,,,,,
mbo_variable_measured_eov_7,mbo_todo_person_roblinksdata,mbo_task_1_1,Macroalgal canopy cover and composition,Macroalgal canopy cover and composition, https://goosocean.org/document/17515,,,,,,,
mbo_variable_measured_eov_8,mbo_todo_person_roblinksdata,mbo_task_1_1,Mangrove cover and composition,Mangrove cover and composition, https://goosocean.org/document/17514,,,,,,,
mbo_variable_measured_eov_9,mbo_todo_person_roblinksdata,mbo_task_1_1,Sea state,Sea state,https://goosocean.org/document/17462,,,,,,,
mbo_variable_measured_eov_10,mbo_todo_person_roblinksdata,mbo_task_1_1,Ocean surface stress,Ocean surface stress,https://goosocean.org/document/17463,,,,,,,
mbo_variable_measured_eov_11,mbo_todo_person_roblinksdata,mbo_task_1_1,Sea ice,Sea ice,https://goosocean.org/document/17464,,,,,,,
mbo_variable_measured_eov_12,mbo_todo_person_roblinksdata,mbo_task_1_1,Sea surface height,Sea surface height,https://goosocean.org/document/17465,,,,,,,
mbo_variable_measured_eov_13,mbo_todo_person_roblinksdata,mbo_task_1_1,Sea surface temperature,Sea surface temperature,https://goosocean.org/document/17466,,,,,,,
mbo_variable_measured_eov_14,mbo_todo_person_roblinksdata,mbo_task_1_1,Subsurface temperature,Subsurface temperature,https://goosocean.org/document/17467,,,,,,,
mbo_variable_measured_eov_15,mbo_todo_person_roblinksdata,mbo_task_1_1,Surface currents,Surface currents,https://goosocean.org/document/17468,,,,,,,
mbo_variable_measured_eov_16,mbo_todo_person_roblinksdata,mbo_task_1_1,Subsurface currents,Subsurface currents,https://goosocean.org/document/17469,,,,,,,
mbo_variable_measured_eov_17,mbo_todo_person_roblinksdata,mbo_task_1_1,Sea surface salinity,Sea surface salinity,https://goosocean.org/document/17470,,,,,,,
mbo_variable_measured_eov_18,mbo_todo_person_roblinksdata,mbo_task_1_1,Subsurface salinity,Subsurface salinity,https://goosocean.org/document/17471,,,,,,,
mbo_variable_measured_eov_19,mbo_todo_person_roblinksdata,mbo_task_1_1,Ocean surface heat flux,Ocean surface heat flux,https://goosocean.org/document/17472,,,,,,,
mbo_variable_measured_eov_20,mbo_todo_person_roblinksdata,mbo_task_1_1,Ocean bottom pressure,Ocean bottom pressure,https://goosocean.org/document/32488,,,,,,,
mbo_variable_measured_eov_21,mbo_todo_person_roblinksdata,mbo_task_1_1,Oxygen,Oxygen, https://goosocean.org/document/17473,,,,,,,
mbo_variable_measured_eov_22,mbo_todo_person_roblinksdata,mbo_task_1_1,Nutrients,Nutrients, https://goosocean.org/document/17474,,,,,,,
mbo_variable_measured_eov_23,mbo_todo_person_roblinksdata,mbo_task_1_1,Inorganic carbon,Inorganic carbon, https://goosocean.org/document/17475,,,,,,,
mbo_variable_measured_eov_24,mbo_todo_person_roblinksdata,mbo_task_1_1,Transient tracers,Transient tracers, https://goosocean.org/document/17476,,,,,,,
mbo_variable_measured_eov_25,mbo_todo_person_roblinksdata,mbo_task_1_1,Nitrous oxide,Nitrous oxide, https://goosocean.org/document/17478,,,,,,,
mbo_variable_measured_eov_26,mbo_todo_person_roblinksdata,mbo_task_1_1,Stable carbon isotopes,Stable carbon isotopes, https://goosocean.org/document/17479,,,,,,,
mbo_variable_measured_eov_27,mbo_todo_person_roblinksdata,mbo_task_1_1,Dissolved organic carbon,Dissolved organic carbon, https://goosocean.org/document/17480,,,,,,,
mbo_variable_measured_eov_28,mbo_todo_person_roblinksdata,mbo_task_1_1,Particulate Matter,Particulate Matter, https://goosocean.org/document/17477,,,,,,,